,index,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
0,1,1,"Total, all countries or areas",2010,Population mid-year estimates (millions),6985.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,2,1,"Total, all countries or areas",2010,Population mid-year estimates for males (millions),3514.41,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
2,3,1,"Total, all countries or areas",2010,Population mid-year estimates for females (millions),3471.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
3,4,1,"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4,5,1,"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),27.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
5,6,1,"Total, all countries or areas",2010,Population aged 60+ years old (percentage),11.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6,7,1,"Total, all countries or areas",2010,Population density,53.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
7,8,1,"Total, all countries or areas",2015,Population mid-year estimates (millions),7426.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
8,9,1,"Total, all countries or areas",2015,Population mid-year estimates for males (millions),3737.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
9,10,1,"Total, all countries or areas",2015,Population mid-year estimates for females (millions),3689.19,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
10,11,1,"Total, all countries or areas",2015,Sex ratio (males per 100 females),101.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
11,12,1,"Total, all countries or areas",2015,Population aged 0 to 14 years old (percentage),26.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
12,13,1,"Total, all countries or areas",2015,Population aged 60+ years old (percentage),12.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
13,14,1,"Total, all countries or areas",2015,Population density,57,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
14,15,1,"Total, all countries or areas",2021,Population mid-year estimates (millions),7909.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
15,16,1,"Total, all countries or areas",2021,Population mid-year estimates for males (millions),3976.65,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
16,17,1,"Total, all countries or areas",2021,Population mid-year estimates for females (millions),3932.65,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
17,18,1,"Total, all countries or areas",2021,Sex ratio (males per 100 females),101.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
18,19,1,"Total, all countries or areas",2021,Population aged 0 to 14 years old (percentage),25.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
19,20,1,"Total, all countries or areas",2021,Population aged 60+ years old (percentage),13.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
20,21,1,"Total, all countries or areas",2021,Population density,60.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
21,22,1,"Total, all countries or areas",2021,Surface area (thousand km2),130094,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
22,23,1,"Total, all countries or areas",2022,Population mid-year estimates (millions),7975.11,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
23,24,1,"Total, all countries or areas",2022,Population mid-year estimates for males (millions),4008.58,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
24,25,1,"Total, all countries or areas",2022,Population mid-year estimates for females (millions),3966.53,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
25,26,1,"Total, all countries or areas",2022,Sex ratio (males per 100 females),101.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
26,27,1,"Total, all countries or areas",2022,Population aged 0 to 14 years old (percentage),25.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
27,28,1,"Total, all countries or areas",2022,Population aged 60+ years old (percentage),13.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
28,29,1,"Total, all countries or areas",2022,Population density,61.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
29,30,2,Africa,2010,Population mid-year estimates (millions),1055.23,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
30,31,2,Africa,2010,Population mid-year estimates for males (millions),525.87,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
31,32,2,Africa,2010,Population mid-year estimates for females (millions),529.37,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
32,33,2,Africa,2010,Sex ratio (males per 100 females),99.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
33,34,2,Africa,2010,Population aged 0 to 14 years old (percentage),41.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
34,35,2,Africa,2010,Population aged 60+ years old (percentage),5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
35,36,2,Africa,2010,Population density,35.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
36,37,2,Africa,2015,Population mid-year estimates (millions),1201.11,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
37,38,2,Africa,2015,Population mid-year estimates for males (millions),599.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
38,39,2,Africa,2015,Population mid-year estimates for females (millions),601.81,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
39,40,2,Africa,2015,Sex ratio (males per 100 females),99.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
40,41,2,Africa,2015,Population aged 0 to 14 years old (percentage),41.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
41,42,2,Africa,2015,Population aged 60+ years old (percentage),5.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
42,43,2,Africa,2015,Population density,40.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
43,44,2,Africa,2021,Population mid-year estimates (millions),1393.68,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
44,45,2,Africa,2021,Population mid-year estimates for males (millions),695.88,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
45,46,2,Africa,2021,Population mid-year estimates for females (millions),697.79,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
46,47,2,Africa,2021,Sex ratio (males per 100 females),99.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
47,48,2,Africa,2021,Population aged 0 to 14 years old (percentage),40.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
48,49,2,Africa,2021,Population aged 60+ years old (percentage),5.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
49,50,2,Africa,2021,Population density,47.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
50,51,2,Africa,2021,Surface area (thousand km2),29648,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
51,52,2,Africa,2022,Population mid-year estimates (millions),1426.74,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
52,53,2,Africa,2022,Population mid-year estimates for males (millions),712.43,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
53,54,2,Africa,2022,Population mid-year estimates for females (millions),714.31,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
